post_id,created_at,source_type,source_name,raw_text,source_url,major_event_type,major_event_flag,major_event_keyword,source_handle
gdelt_0,20260529T201500Z,gdelt,gdelt,[GDELT] Filhome Builders launches Steelyes Main Door Collection (Source: https://www.manilatimes.net/2026/05/30/tmt-newswire/filhome-builders-launches-steelyes-main-door-collection/2354447),https://www.manilatimes.net/2026/05/30/tmt-newswire/filhome-builders-launches-steelyes-main-door-collection/2354447,mall event,1,launch,
gdelt_1,20260529T140000Z,gdelt,gdelt,[GDELT] Roofing Reality Check : Risk Is Rising Even in Quiet Storm Years (Source: https://www.manilatimes.net/2026/05/29/tmt-newswire/globenewswire/roofing-reality-check-risk-is-rising-even-in-quiet-storm-years/2354616),https://www.manilatimes.net/2026/05/29/tmt-newswire/globenewswire/roofing-reality-check-risk-is-rising-even-in-quiet-storm-years/2354616,weather / flood alert,1,storm,
2060712954119725056,2026-05-30T13:20:29.000Z,x_timeline,MMDA,"[MMDA] MMDA ALERT: Road crash incident at EDSA William Street NB involving an SUV and a pick-up, as of 8:58 PM. One lane is occupied. MMDA enforcers are on site managing traffic. #mmda",,traffic / road incident,1,crash,MMDA
2060668342688743677,2026-05-30T10:23:12.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Road crash incident at Commonwealth Tandang Sora EB involving two motorcycles as of 6:18 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,crash,MMDA
2060661261646594424,2026-05-30T09:55:04.000Z,x_timeline,MMDA,"[MMDA] MMDA ALERT: Stalled SUV due to mechanical problem at East Avenue, Matapang Street EB as of 5:21 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",,traffic / road incident,1,stalled,MMDA
2060639617150521591,2026-05-30T08:29:04.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Road crash incident at EDSA Magallanes SB involving two AUV as of 4:23 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,crash,MMDA
2060637021321015460,2026-05-30T08:18:45.000Z,x_timeline,MMDA,"[MMDA] MMDA ALERT: Road crash incident at Commonwealth, Ever Gotesco Loading Bay EB involving van as of 4:02 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",,traffic / road incident,1,crash,MMDA
2060636317873262796,2026-05-30T08:15:57.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Road crash incident at C5 Market Market NB involving AUV as of 3:51 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,crash,MMDA
2060636206506131664,2026-05-30T08:15:31.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Road crash incident at Green Meadows Avenue corner C5 WB involving AUV and car as of 3:49 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,crash,MMDA
2060636068219953520,2026-05-30T08:14:58.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Stalled closed van due to mechanic problem at Marcos Highway Barangka WB involving closed van as of 3:39 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,stalled,MMDA
2060620449906655484,2026-05-30T07:12:54.000Z,x_timeline,QCGov,"[QCGov] Bahagi ng mga serbisyo sa furbabies ang anti-rabies, micro-chipping, deworming, at pet consultation. 

May mga pet booth din para sa iba-ibang supplies, snacks, toys, medicines, supplements, at accessories na maaaring bilhin.

Mayroon ding booth ang QCVD para sa madaling https://t.co/R3UAFkxUhU",,traffic / road incident,1,baha,QCGov
2060615059181818157,2026-05-30T06:51:29.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Stalled wing van due to tire problem at C5 Kalayaan NB as of 2:07 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,stalled,MMDA
2060592872920158626,2026-05-30T05:23:19.000Z,x_timeline,QCGov,"[QCGov] MAHALAGANG ABISO SA MGA MOTORISTA🚦

Asahan ang posibleng pagbagal ng daloy ng trapiko sa paligid ng Tomas Morato Avenue at Timog Avenue sa June 6, 2026 mula 5:00 PM hanggang 8:00 PM bunsod ng isasagawang PRIDE RUN sa QC 2026 ng Quezon City Government at RunRio, bilang bahagi ng https://t.co/7ORynuZY54",,traffic / road incident,1,baha,QCGov
2060584055549333893,2026-05-30T04:48:17.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Road crash incident at EDSA Ayala after tunnel NB involving motorcycle as of 12:44 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,crash,MMDA
2060577833198714954,2026-05-30T04:23:33.000Z,x_timeline,MMDA,"[MMDA] BUNGA NG DISIPLINA ANG PAGBABAGO 

Sabi nga ni MMDA General Manager Usec. Nicolas Torre III sa soft launch ng ""Yes to Ayos"" Disiplina campaign sa Pateros, ang kaayusan ay hindi lang trabaho ng gobyerno kundi responsibilidad ng bawat isa. 

Simulan natin ang pagbabago ngayon. Ano https://t.co/vTszxLxJrn",,mall event,1,launch,MMDA
2060572314539118839,2026-05-30T04:01:38.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Stalled Trailer truck due to mechanical problem at C3 A. Mabini NB as of 11:59 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,stalled,MMDA
2060567672715427880,2026-05-30T03:43:11.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Road crash incident at Katipunan La Vista NB involving car and tricycle as of 11:38 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,crash,MMDA
2060564136585789755,2026-05-30T03:29:08.000Z,x_timeline,MMDA,"[MMDA] MMDA ALERT: Road crash incident at Mc Arthur, Lanzones WB involving motorcycle and car as of 11:22 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",,traffic / road incident,1,crash,MMDA
2060558977935823202,2026-05-30T03:08:38.000Z,x_timeline,QCGov,"[QCGov] Hindi rin nagpadaig ang iba pang mga atleta ng NCR sa Volleyball at Basketball, habang nagpatuloy sa tagisan ang iba pang student-athletes sa iba-ibang events ng Palaro.

Bago matapos ang araw, nasaksihan din ng mga atleta, coaches, at manonood ang makulay na pyromusical show na https://t.co/RTFddytHVI",,concert / arena event,1,show,QCGov
2060556917844636051,2026-05-30T03:00:27.000Z,x_timeline,MMDA,[MMDA] MMDA ALERT: Road crash incident at C5 Lanuza NB involving van and delivery van as of 10:48 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,traffic / road incident,1,crash,MMDA
