post_id,created_at,source_type,source_name,raw_text,source_url,major_event_type,major_event_flag,major_event_keyword
gdelt_0,20260602T054500Z,gdelt,gdelt,[GDELT] Kelvinator launches massive 3D billboard campaign in Delhi NCR (Source: https://www.adgully.com/post/16279/kelvinator-launches-massive-3d-billboard-campaign-in-delhi-ncr),https://www.adgully.com/post/16279/kelvinator-launches-massive-3d-billboard-campaign-in-delhi-ncr,mall event,1,launch
gdelt_1,20260602T053000Z,gdelt,gdelt,[GDELT] WatchGuard Launches New High - Performance Firebox Appliances to Secure Modern Enterprise Networks (Source: https://www.manilatimes.net/2026/06/02/tmt-newswire/globenewswire/watchguard-launches-new-high-performance-firebox-appliances-to-secure-modern-enterprise-networks/2356397),https://www.manilatimes.net/2026/06/02/tmt-newswire/globenewswire/watchguard-launches-new-high-performance-firebox-appliances-to-secure-modern-enterprise-networks/2356397,mall event,1,launch
gdelt_29,20260602T053000Z,gdelt,gdelt,[GDELT] Recharge Power and Energy Decarb Launch Joint Venture Targeting Australia PV and BESS Market (Source: https://www.manilatimes.net/2026/06/02/tmt-newswire/pr-newswire/recharge-power-and-energy-decarb-launch-joint-venture-targeting-australias-pv-and-bess-market/2356408),https://www.manilatimes.net/2026/06/02/tmt-newswire/pr-newswire/recharge-power-and-energy-decarb-launch-joint-venture-targeting-australias-pv-and-bess-market/2356408,mall event,1,launch
gdelt_2,20260602T033000Z,gdelt,gdelt,[GDELT] TMGM Returns as Presenter Sponsor for Jay Chou Malaysia Concert 2027 (Source: https://www.manilatimes.net/2026/06/02/tmt-newswire/pr-newswire/tmgm-returns-as-presenter-sponsor-for-jay-chou-malaysia-concert-2027/2356378),https://www.manilatimes.net/2026/06/02/tmt-newswire/pr-newswire/tmgm-returns-as-presenter-sponsor-for-jay-chou-malaysia-concert-2027/2356378,concert / arena event,1,concert
gdelt_3,20260602T024500Z,gdelt,gdelt,[GDELT] Quantinuum Signs MOU with Mitsubishi Electric to Launch Strategic Quantum Computing Partnership (Source: https://www.manilatimes.net/2026/06/02/tmt-newswire/pr-newswire/quantinuum-signs-mou-with-mitsubishi-electric-to-launch-strategic-quantum-computing-partnership/2356375),https://www.manilatimes.net/2026/06/02/tmt-newswire/pr-newswire/quantinuum-signs-mou-with-mitsubishi-electric-to-launch-strategic-quantum-computing-partnership/2356375,mall event,1,launch
gdelt_30,20260602T024500Z,gdelt,gdelt,[GDELT] YTO Express Global Aviation Logistics Hub - YTO SKYHUB Launches First International Cargo Route (Source: https://www.manilatimes.net/2026/06/02/tmt-newswire/globenewswire/yto-expresss-global-aviation-logistics-hub-yto-skyhub-launches-first-international-cargo-route/2356359),https://www.manilatimes.net/2026/06/02/tmt-newswire/globenewswire/yto-expresss-global-aviation-logistics-hub-yto-skyhub-launches-first-international-cargo-route/2356359,mall event,1,launch
gdelt_4,20260602T013000Z,gdelt,gdelt,"[GDELT] Pro - Trump lawyer , leftist senator launch Colombia runoff campaigns (Source: https://www.manilatimes.net/2026/06/02/world/americas-emea/pro-trump-lawyer-leftist-senator-launch-colombia-runoff-campaigns/2356343)",https://www.manilatimes.net/2026/06/02/world/americas-emea/pro-trump-lawyer-leftist-senator-launch-colombia-runoff-campaigns/2356343,mall event,1,launch
gdelt_31,20260601T220000Z,gdelt,gdelt,"[GDELT] Gencor Announces Receipt of NYSE Regulation Notice Regarding Late Filing of the Quarterly Report on Form 10 - Q for the period Ended March 31 , 2026 (Source: https://www.manilatimes.net/2026/06/02/tmt-newswire/globenewswire/gencor-announces-receipt-of-nyse-regulation-notice-regarding-late-filing-of-the-quarterly-report-on-form-10-q-for-the-period-ended-march-31-2026/2356283)",https://www.manilatimes.net/2026/06/02/tmt-newswire/globenewswire/gencor-announces-receipt-of-nyse-regulation-notice-regarding-late-filing-of-the-quarterly-report-on-form-10-q-for-the-period-ended-march-31-2026/2356283,rally / protest,1,march
gdelt_5,20260601T193000Z,gdelt,gdelt,[GDELT] Region 6 launches road safety plan for 2026 - 28 (Source: https://www.manilatimes.net/2026/06/02/regions/region-6-launches-road-safety-plan-for-2026-28/2356095),https://www.manilatimes.net/2026/06/02/regions/region-6-launches-road-safety-plan-for-2026-28/2356095,mall event,1,launch
gdelt_6,20260601T193000Z,gdelt,gdelt,[GDELT] BARMM faces tension ahead of first parliamentary election (Source: https://www.manilatimes.net/2026/06/02/regions/barmm-faces-tension-ahead-of-first-parliamentary-election/2356092),https://www.manilatimes.net/2026/06/02/regions/barmm-faces-tension-ahead-of-first-parliamentary-election/2356092,political event,1,election
