post_id,created_at,raw_text,translated_text,source_type,source_file,reliability_label,annotator_name,annotation_time,notes
gdelt_0,20260511T050000Z,"[GDELT] In new signature drive , Filipino Church breaks bonds of political dynasties (Source: https://cruxnow.com/church-in-asia/2026/05/in-new-signature-drive-filipino-church-breaks-bonds-of-political-dynasties)","[GDELT] In new signature drive , Filipino Church breaks bonds of political dynasties (Source: https://cruxnow.com/church-in-asia/2026/05/in-new-signature-drive-filipino-church-breaks-bonds-of-political-dynasties)",gdelt,,0.0,auto_bootstrap,2026-05-11T18:52:18,auto: gdelt non-traffic context
gdelt_1,20260510T101500Z,[GDELT] VinFast VF6 proves EVs go further delivers real - world performance beyond city driving (Source: https://gadgetsmagazine.com.ph/mobility/cars/vinfast-vf6-evs-go-further),[GDELT] VinFast VF6 proves EVs go further delivers real - world performance beyond city driving (Source: https://gadgetsmagazine.com.ph/mobility/cars/vinfast-vf6-evs-go-further),gdelt,,0.0,Joshua Pagallaman,2026-05-11T19:18:40,Advertisement Post
gdelt_2,20260510T073000Z,[GDELT] [ Time Trowel ] What happens when we remove history ? (Source: https://www.rappler.com/voices/thought-leaders/time-trowel-effects-removing-history-general-education/),[GDELT] [ Time Trowel ] What happens when we remove history ? (Source: https://www.rappler.com/voices/thought-leaders/time-trowel-effects-removing-history-general-education/),gdelt,,0.0,auto_bootstrap,2026-05-11T18:52:18,auto: gdelt non-traffic context
gdelt_3,20260509T213000Z,"[GDELT] Successful ASEAN Summit , a wow moment (Source: https://tribune.net.ph/2026/05/09/successful-asean-summit-a-wow-moment)","[GDELT] Successful ASEAN Summit , a wow moment (Source: https://tribune.net.ph/2026/05/09/successful-asean-summit-a-wow-moment)",gdelt,,0.0,auto_bootstrap,2026-05-11T18:52:18,auto: gdelt non-traffic context
gdelt_4,20260509T063000Z,[GDELT] Quezon City roads closed Sunday for running event (Source: https://www.manilatimes.net/2026/05/09/news/national/quezon-city-roads-closed-sunday-for-running-event/2339899),[GDELT] Quezon City roads closed Sunday for running event (Source: https://www.manilatimes.net/2026/05/09/news/national/quezon-city-roads-closed-sunday-for-running-event/2339899),gdelt,,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: gdelt traffic/event + PH location
gdelt_5,20260508T203000Z,[GDELT] Fireworks memorial returns to honour Tyendinaga fishermen and keep questions alive (Source: https://theturtleislandnews.com/index.php/2026/05/08/fireworks-memorial-returns-to-honour-tyendinaga-fishermen-and-keep-questions-alive/),[GDELT] Fireworks memorial returns to honour Tyendinaga fishermen and keep questions alive (Source: https://theturtleislandnews.com/index.php/2026/05/08/fireworks-memorial-returns-to-honour-tyendinaga-fishermen-and-keep-questions-alive/),gdelt,,0.0,Joshua Pagallaman,2026-05-11T19:19:10,Not related to PH
gdelt_6,20260508T194500Z,[GDELT] Signature Series starts Susana Heights transformation (Source: http://www.shangbao.com.ph/jjxw/2026/05-08/197998.shtml),[GDELT] Signature Series starts Susana Heights transformation (Source: http://www.shangbao.com.ph/jjxw/2026/05-08/197998.shtml),gdelt,,0.0,Joshua Pagallaman,2026-05-11T19:19:35,
gdelt_7,20260508T183000Z,[GDELT] Fireworks memorial returns to honour Tyendinaga fishermen and keep questions alive (Source: https://www.wellandtribune.ca/news/canada/fireworks-memorial-returns-to-honour-tyendinaga-fishermen-and-keep-questions-alive/article_91ff743b-786f-5ec3-a8eb-1b3f28eae64a.html),[GDELT] Fireworks memorial returns to honour Tyendinaga fishermen and keep questions alive (Source: https://www.wellandtribune.ca/news/canada/fireworks-memorial-returns-to-honour-tyendinaga-fishermen-and-keep-questions-alive/article_91ff743b-786f-5ec3-a8eb-1b3f28eae64a.html),gdelt,,0.0,Joshua Pagallaman,2026-05-11T19:19:57,Not related
gdelt_8,20260508T164500Z,[GDELT] Signature drive on for genuine anti - dynasty law (Source: https://www.philstar.com/headlines/2026/05/09/2526716/signature-drive-genuine-anti-dynasty-law),[GDELT] Signature drive on for genuine anti - dynasty law (Source: https://www.philstar.com/headlines/2026/05/09/2526716/signature-drive-genuine-anti-dynasty-law),gdelt,,0.0,auto_bootstrap,2026-05-11T18:52:18,auto: gdelt non-traffic context
gdelt_9,20260508T154500Z,[GDELT] Garden City Skyway twinning project ramping up (Source: https://www.stcatharinesstandard.ca/news/niagara-region/garden-city-skyway-twinning-construction-details/article_d0ba19df-c6ca-59b1-a126-f9132b6f3135.html),[GDELT] Garden City Skyway twinning project ramping up (Source: https://www.stcatharinesstandard.ca/news/niagara-region/garden-city-skyway-twinning-construction-details/article_d0ba19df-c6ca-59b1-a126-f9132b6f3135.html),gdelt,,0.0,Joshua Pagallaman,2026-05-11T19:20:22,Not in PH
