x_post_id,created_at,lang,raw_text,translated_text
2053758841855316472,2026-05-11T08:47:19.000Z,en,@sangeeta2599 Mmda bus stop i m waiting,
2053743334481621180,2026-05-11T07:45:42.000Z,en,"MMDA ADVISORY: Rallyist are sighted at IBP Road front of House of Representatives South Gate, more or less 400 pax, as of 2:10 PM. Personnel of PNP and MMDA are on site managing traffic. #mmda",
2053715831360761982,2026-05-11T05:56:25.000Z,en,MMDA ALERT: Road crash incident at Commonwealth Ever EB involving 2 motorcycles as of 1:50 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053715719096000556,2026-05-11T05:55:58.000Z,en,"MMDA ALERT: Multiple collision at Commonwealth Atherton EB involving van, SUV and car as of 1:46 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",
2053692746721046957,2026-05-11T04:24:41.000Z,en,MMDA ALERT: Stalled dump truck due to mechanical trouble at C5 Katipunan Ave. Miriam College NB as of 11:22 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053692706229194798,2026-05-11T04:24:31.000Z,en,MMDA ALERT: Road crash incident at EDSA Shaw Blvd intersection NB involving taxi and SUV as of 12:05 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053692669130625226,2026-05-11T04:24:22.000Z,en,MMDA ALERT: Road crash incident at EDSA Estrella NB involving closed van and SUV as of 12:05 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053665372885381331,2026-05-11T02:35:54.000Z,en,MMDA ALERT: Road crash incident at C5 Eastwood SB involving SUV and taxi as of 10:22 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053654118057791837,2026-05-11T01:51:11.000Z,en,"MMDA ADVISORY: Rallyists are sighted at Batasan Road House of Representative South Gate, more or less 200 pax, as of 9:35 AM. Personnel from PNP and MMDA are on site managing traffic. #mmda",
2053653516498198670,2026-05-11T01:48:48.000Z,en,MMDA ALERT: Road crash incident at C5 Lanuza NB involving van and pick-up as of 9:38 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053650772672593968,2026-05-11T01:37:53.000Z,en,MMDA ALERT: Road crash incident at Mindanao extension FCM EB involving motorcycle and pedestrian as of 9:34 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053649876555337751,2026-05-11T01:34:20.000Z,en,MMDA ALERT: Stalled bus due to mechanical trouble at Quezon Ave. Capitol WB as of 9:20 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053649743373537362,2026-05-11T01:33:48.000Z,en,MMDA ALERT: Road crash incident at EDSA Santolan flyover SB involving pick-up and SUV as of 9:05 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053649651631599684,2026-05-11T01:33:26.000Z,en,MMDA ALERT: Road crash incident at Mabini Bridge SB involving  car and motorcycle as of 8:58 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053648767493288408,2026-05-11T01:29:55.000Z,en,@MMDA Ano pong city and roads ang walang window hour for coding? Ty.,
2053643549930148011,2026-05-11T01:09:11.000Z,en,"🚗 C5 Coding Hours in Metro Manila 🇵🇭

🕖 Morning: 7AM–10AM
🕔 Evening: 5PM–8PM
✅ Window Hours: 10:01AM–4:59PM
📌 No Coding on Weekends &amp; Holidays

Avoid traffic violations and stay updated with MMDA rules. 🚦
🌐 https://t.co/RJE4C3IE8c

#C5 #CodingHours #MMDA #TrafficUpdate https://t.co/ahppZedxzz",
2053635356277518681,2026-05-11T00:36:38.000Z,en,MMDA ALERT: Stalled tanker due to mechanical trouble at Mindanao Sauyo U-turn slot SB as of 8:27 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053625368352014638,2026-05-10T23:56:56.000Z,en,MMDA ALERT: Road crash incident at MIA Coastal intersection EB involving AUV and motorcycle as of 7:52 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053624669547417962,2026-05-10T23:54:10.000Z,en,MMDA ALERT: Road crash incident at C5 Station 12 Libis SB involving pick-up and car as of 7:46 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053624624244756697,2026-05-10T23:53:59.000Z,en,MMDA ALERT: Road crash incident at C5 Eastwood NB involving PUJ and motorcycle as of 7:33 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053587472614109569,2026-05-10T21:26:21.000Z,en,MMDA ALERT: Road crash incident at EDSA Guadalupe bridge NB  involving van and motorcycle as of 5:00 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053521434509807954,2026-05-10T17:03:57.000Z,en,MMDA ALERT: Road crash incident at EDSA NIA NB  involving car and motorcycle as of 12:15 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053521274778050703,2026-05-10T17:03:19.000Z,en,MMDA ALERT: Road crash incident at Camp Aguinaldo Gate 3  involving car as of 11:58 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053459875535966497,2026-05-10T12:59:20.000Z,en,@freakonaomics Magic Mushrooms and Amphetamines and MMDA from Myristicin,
2053437156375535659,2026-05-10T11:29:03.000Z,en,"@MMDA @MMDAtweets would like to report illegal parking for patrons of Choir garden along the length of Annapolis at, San Juan, MABUHAY LANE https://t.co/lZm9Cp6myX",
2053433138043568337,2026-05-10T11:13:05.000Z,en,MMDA ALERT: Road crash incident at Commonwealth Tandang Sora WB involving two motorcycles as of 6:55 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
